==========As_Se=========
System  Ratio  Ef          Source ICSD_ID                  ICSD   Aflow  Delta                         
TaxSey  0.333  -0.3809329  Ta_S   S1Ta2_ICSD_657370        False  False  0.09034                       
TaxSey  0.4    -0.5265446  Ta_S   S2Ta3_ICSD_71143         False  False  0.0262                        
TaxSey  0.667  -0.8024469  Ta_S   S2Ta1_ICSD_24757         False  False  0.0449                        
TaxSey  0.333  -0.4357209  A_Se   Nb2Se1_ICSD_26183        False  False  0.03555                       
TaxSey  0.5    -0.6066389  A_Se   Au1Se1_ICSD_73668        False  False  0.06831                       
TaxSey  0.571  -0.6734388  A_Se   Co3Se4_ICSD_99989        False  False  0.08879                       
TaxSey  0.571  -0.6651352  A_Se   Mo3Se4_ICSD_16316        False  False  0.0971                        
TaxSey  0.6    -0.7071832  A_Se   As2Se3_ICSD_611373       False  False  0.08058                       
TaxSey  0.615  -0.7668902  A_Se   Cr5Se8_ICSD_626705       False  False  0.03463                       
TaxSey  0.667  -0.8465023  A_Se   Nb1Se2_ICSD_16305        False  False  0.00085                       
TaxSey  0.667  -0.8403261  A_Se   Nb1Se2_ICSD_73093        False  False  0.00702                       
TaxSey  0.667  -0.8111802  A_Se   Ba1Se2_ICSD_16358        False  False  0.03617                       
TaxSey  0.667  -0.8082819  A_Se   C1Se2_ICSD_60374         False  False  0.03907                       
TaxSey  0.667  -0.8019011  A_Se   Re1Se2_ICSD_26256        False  False  0.04545                       
TaxSey  0.75   -0.671679   A_Se   Nb1Se3_ICSD_76578        False  False  0.01639                       
TaxSey  0.75   -0.6455427  A_Se   Hf1Se3_ICSD_42075        False  False  0.04252                       
TaxSey  0.8    -0.5158113  A_Se   Nb1Se4_ICSD_645375       False  False  0.03464                       
TaxSey  0.818  -0.4997539  A_Se   Nb2Se9_ICSD_62538        False  False  0.00066                       
TaxSey  0.818  -0.4982753  A_Se   Se9V2_ICSD_48145         False  False  0.00214                       
TaxSey  0.667  -0.8300969  mp     mp-1000657               False  None   0.01725                       
TaxSey  0.5    -0.6037602  aflow  aflow_TaSe_28            False  None   0.07118                       
TaxSey  0.75   -0.610854   aflow  aflow_TaSe_277           False  None   0.07721                       
==========Zr_Se=========
System  Ratio  Ef          Source ICSD_ID                  ICSD   Aflow  Delta                         
ZrxSey  0.0    0.045312    Zr     Zr1_ICSD_41511           True   None   0.04531                       
ZrxSey  0.0    0.093413    Zr     Zr1_ICSD_52544           True   None   0.09341                       
ZrxSey  1.0    0.030979    Se     Se8_ICSD_2718            False  None   0.03098                       
ZrxSey  0.276  -0.852947   Zr_S   S8Zr21_ICSD_651473       False  False  0.01984                       
ZrxSey  0.182  -0.5507587  Ti_Se  Se2Ti9_ICSD_404193       False  False  0.02449                       
ZrxSey  0.333  -1.0342618  Ti_Se  Se1Ti2_ICSD_411234       False  False  0.02036                       
ZrxSey  0.5    -1.4483039  Ti_Se  Se1Ti1_ICSD_652036       False  True   0.08183                       
ZrxSey  0.571  -1.5270502  Ti_Se  Se4Ti3_ICSD_79629        False  False  0.0098                        
ZrxSey  0.571  -1.4926888  Ti_Se  Se4Ti3_ICSD_601347       False  False  0.04416                       
ZrxSey  0.6    -1.5083837  As_Se  As2Se3_ICSD_2600         False  False  0.03115                       
ZrxSey  0.6    -1.4479212  As_Se  As2Se3_ICSD_611373       False  False  0.09161                       
ZrxSey  0.5    -1.5300357  mp     mp-1183040               False  None   0.0001                        
ZrxSey  0.571  -1.454033   mp     mp-1215400               False  None   0.08281                       
ZrxSey  0.615  -1.4616056  mp     mp-1215925               False  None   0.07633                       
